Sample,Time,AMPH,APLOA,APLOE,ATYP,BODI,CAES,CALL,CANTH,CAPRO,CENTRO,CHEILS,CHIRO,CHRF,CHRH,CORISP,CORISS,DBREV,DTHET,GCYAN,GTRIC,GNUB,GPRAS,GPRION,HYPOB,KSYD,LABR,MYLIO,NDOUG,NMACROP,NCEL,NFUC,NINSCR,ODAX,PAGRUS,PCOLIAS,PARIKA,PARMA,PLAGT,PLUCU,PMILES,SCARD,SLIN,SVIOL,SERIOLA,SAYLING,UPEN,ZEUS
1,Sep.98,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,39,1,0,1,3,1,0,0,0,0,0,0,3,0,1,6,3,0,0,0,14,20,0,1,5,1,0,24,0,2,11,0
2,Sep.98,0,0,0,0,6,6,0,6,1,0,0,0,0,0,0,22,0,0,0,0,1,0,0,7,1,0,0,6,0,6,2,1,1,0,0,6,0,1,3,0,0,0,2,0,0,29,0
3,Sep.98,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,8,0,1,1,3,4,0,0,19,20,0,1,2,2,0,0,0,3,1,0
4,Sep.98,0,1,0,0,10,0,0,0,0,0,9,1,0,0,0,16,1,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,4,35,0,3,3,2,0,0,0,4,1,0
5,Sep.98,0,0,0,0,4,2,0,13,103,0,1,0,1,0,0,13,0,0,0,0,1,2,0,2,0,0,0,2,0,1,2,0,4,0,0,8,15,0,3,8,3,0,0,1,7,0,0
6,Sep.98,0,0,0,0,9,0,0,2,0,0,5,0,0,0,0,16,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,0,3,0,0,8,19,0,0,6,1,0,0,0,2,1,0
7,Sep.98,0,0,0,0,18,4,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,1,3,0,0,4,0,1,0,0,8,40,0,0,11,7,0,3,0,0,5,0
8,Sep.98,0,0,0,1,16,110,0,2,0,0,1,0,0,0,0,31,0,0,0,0,1,0,0,1,0,0,0,1,0,3,1,0,0,0,0,3,23,2,4,12,2,0,2,0,0,0,0
9,Sep.98,0,1,0,0,4,131,0,0,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,13,0,0,14,38,4,0,3,2,0,0,0,0,0,0
10,Sep.98,0,2,0,0,11,2,1,3,1,0,1,0,0,0,0,6,3,0,0,0,0,2,0,1,0,0,0,1,0,3,2,1,0,1,0,13,1,0,0,0,1,0,1,0,3,0,0
11,Sep.98,0,1,0,0,6,0,0,0,0,0,4,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,2,0,3,6,0,2,1,0,12,24,0,0,2,1,0,0,0,1,2,1
12,Sep.98,2,1,0,3,6,0,0,14,25,0,2,0,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,13,2,0,0,19,4,0,10,0,1,0,0
13,Sep.98,0,0,1,0,3,3,0,13,2,0,12,0,0,0,0,7,1,0,0,0,2,0,0,2,0,0,0,0,0,0,9,0,18,0,0,16,10,0,3,10,0,0,0,0,1,0,0
14,Sep.98,0,1,0,0,3,19,0,1,23,0,3,0,0,0,0,3,0,0,0,0,1,0,1,4,0,0,0,3,0,0,0,0,27,0,0,20,0,0,1,13,1,0,0,0,0,0,0
15,Sep.98,0,0,0,0,11,20,0,0,0,0,7,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,4,0,5,10,0,0,0,0,3,39,0,3,4,2,0,1,0,9,4,0
16,Mar.99,0,0,0,4,7,0,0,0,0,0,1,2,0,0,0,45,0,2,11,3,0,0,0,0,0,0,0,4,0,3,0,1,11,15,0,5,21,0,1,3,0,0,0,0,0,8,0
17,Mar.99,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,43,1,0,0,0,0,1,0,0,0,0,1,4,1,7,0,0,0,3,0,3,0,0,4,0,1,0,0,0,4,5,0
18,Mar.99,0,1,0,0,3,0,0,0,0,0,13,1,0,0,0,46,1,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,6,5,0,4,39,0,6,0,0,0,7,5,1,7,0
19,Mar.99,0,0,0,0,7,0,0,0,0,0,6,0,1,0,0,50,3,0,8,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,5,28,0,11,3,2,0,5,2,0,0,0
20,Mar.99,0,0,0,0,3,0,0,16,30,0,1,0,0,0,0,35,0,0,0,0,1,1,0,0,0,0,2,5,0,0,0,0,0,2,0,8,7,2,5,4,2,0,1,0,3,0,0
21,Mar.99,0,0,1,0,8,38,0,0,1,0,3,0,0,0,0,19,0,0,0,0,1,3,0,0,0,0,0,0,0,1,4,3,0,1,0,1,16,0,4,6,0,0,0,0,2,0,0
22,Mar.99,4,5,2,0,2,8,0,0,30,0,3,1,0,1,0,35,4,0,0,0,0,0,0,0,0,0,0,6,0,1,3,2,1,15,0,5,25,0,8,4,2,0,1,5,1,0,0
23,Mar.99,0,0,0,0,1,10,0,0,0,0,4,0,0,1,1,19,0,0,25,0,1,0,0,0,0,0,1,2,0,8,4,0,2,28,0,9,24,0,1,5,1,0,0,0,0,3,0
24,Mar.99,3,1,0,1,4,0,0,1,0,0,2,0,0,0,0,27,0,0,1,0,0,3,0,0,0,0,0,2,0,0,1,1,3,0,0,9,11,0,3,17,0,0,10,4,10,0,0
25,Mar.99,0,0,0,0,19,64,0,0,0,0,2,0,0,0,0,14,0,0,1,0,0,0,0,1,0,0,0,4,0,1,4,0,0,0,0,4,23,0,17,4,1,0,0,4,3,0,0
26,Mar.99,2,0,0,0,9,15,0,4,27,0,0,0,0,0,0,18,5,0,0,0,4,1,0,4,0,0,0,2,0,1,5,1,0,25,0,11,6,5,21,4,4,0,0,0,14,2,0
27,Mar.99,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,44,3,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,6,18,0,9,9,3,1,8,0,10,1,0
28,Mar.99,0,2,0,2,10,1,0,0,200,0,1,0,1,0,0,6,1,1,0,0,1,0,0,1,0,0,1,6,0,2,2,0,5,3,0,4,0,1,3,17,0,0,0,1,0,1,0
29,Mar.99,0,1,0,0,13,5,0,3,0,0,2,0,1,0,1,44,0,0,9,0,0,1,0,0,0,0,0,2,0,5,6,1,0,15,0,3,30,0,5,4,1,0,0,0,0,2,0
30,Mar.99,6,1,1,0,2,1,0,7,45,0,0,0,0,0,0,16,6,0,0,0,5,1,0,2,0,0,0,6,0,0,0,0,0,6,0,11,0,1,18,2,1,0,0,7,2,0,1
31,Mar.99,2,0,0,0,3,28,0,3,0,0,0,0,0,0,0,17,4,4,0,0,3,0,0,8,0,0,0,16,0,0,0,0,0,1,0,25,1,1,3,0,2,0,25,0,6,2,1
32,Mar.99,0,0,0,3,3,6,0,0,0,0,2,0,2,0,0,91,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,5,19,0,2,0,0,0,142,0,0,5,1
33,Mar.99,2,0,0,4,11,5,0,1,12,0,0,0,0,0,0,6,2,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,10,0,17,1,1,5,1,1,0,3,0,2,3,0
